set,numero,lingua,url_carta,url_immagine,url_immagine_grande
ASC,261,en,https://limitlesstcg.com/cards/en/ASC/261,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_261_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_261_R_EN_LG.png
ASC,262,en,https://limitlesstcg.com/cards/en/ASC/262,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_262_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_262_R_EN_LG.png
ASC,263,en,https://limitlesstcg.com/cards/en/ASC/263,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_263_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_263_R_EN_LG.png
ASC,264,en,https://limitlesstcg.com/cards/en/ASC/264,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_264_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_264_R_EN_LG.png
ASC,291,en,https://limitlesstcg.com/cards/en/ASC/291,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_291_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_291_R_EN_LG.png
ASC,292,en,https://limitlesstcg.com/cards/en/ASC/292,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_292_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_292_R_EN_LG.png
ASC,293,en,https://limitlesstcg.com/cards/en/ASC/293,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_293_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_293_R_EN_LG.png
PFL,116,en,https://limitlesstcg.com/cards/en/PFL/116,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_116_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_116_R_EN_LG.png
PFL,117,en,https://limitlesstcg.com/cards/en/PFL/117,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_117_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_117_R_EN_LG.png
PFL,118,en,https://limitlesstcg.com/cards/en/PFL/118,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_118_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_118_R_EN_LG.png
PFL,119,en,https://limitlesstcg.com/cards/en/PFL/119,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_119_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_119_R_EN_LG.png
PFL,120,en,https://limitlesstcg.com/cards/en/PFL/120,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_120_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_120_R_EN_LG.png
PFL,121,en,https://limitlesstcg.com/cards/en/PFL/121,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_121_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_121_R_EN_LG.png
PFL,122,en,https://limitlesstcg.com/cards/en/PFL/122,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_122_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_122_R_EN_LG.png
